ㄅㄚˊㄑㄧˇ	拔起	29
ㄅㄚˊㄑㄧˇㄌㄞˊ	拔起來	16
ㄅㄚˊㄑㄩˇ	拔取	3
ㄅㄚˊㄑㄩˋ	拔去	2
ㄅㄚˊㄑㄩㄣˊ	拔群	0
ㄅㄚˊㄑㄩㄣˊㄔㄨㄌㄟˋ	拔群出類	0
ㄅㄚˊㄑㄩㄣˊㄔㄨㄘㄨㄟˋ	拔群出萃	0
ㄅㄚˊㄒㄧㄚˋ	拔下	17
ㄅㄚˊㄒㄧㄚˋㄌㄞˊ	拔下來	10
ㄅㄚˊㄒㄧㄚˋㄑㄩˋ	拔下去	0
ㄅㄚˊㄒㄧㄣㄌㄧㄥˇㄧˋ	拔新領異	0
ㄅㄚˊㄓㄜ˙	拔著	0
ㄅㄚˊㄓㄨㄛˊ	拔擢	8
ㄅㄚˊㄔㄥˊ	拔城	0
ㄅㄚˊㄔㄨ	拔出	41
ㄅㄚˊㄔㄨˊ	拔除	25
ㄅㄚˊㄔㄨㄌㄞˊ	拔出來	11
ㄅㄚˊㄔㄨㄑㄩˋ	拔出去	0
ㄅㄚˊㄕㄜˋ	跋涉	42
ㄅㄚˊㄕㄢㄕㄜˋㄕㄨㄟˇ	跋山涉水	5
ㄅㄚˊㄕㄣ	拔身	1
ㄅㄚˊㄖㄢˇ	拔染	0
ㄅㄚˊㄖㄣˋㄓㄤㄋㄨˇ	拔刃張弩	0
ㄅㄚˊㄘㄠˇ	拔草	5
ㄅㄚˊㄘㄨㄟˋㄔㄨㄌㄟˋ	拔萃出類	0
ㄅㄚˊㄘㄨㄟˋㄔㄨㄑㄩㄣˊ	拔萃出群	0
ㄅㄚˊㄧㄚˊ	拔牙	27
ㄅㄚˊㄧㄥˊ	拔營	0
ㄅㄚˊㄨㄣˊ	跋文	2
ㄅㄚˊㄩㄥˋ	拔用	0
ㄅㄚˋㄅㄚˋ	爸爸	1304
ㄅㄚˋㄅㄚ˙	爸爸	1304
ㄅㄚˋㄅㄧˇ	罷筆	4
ㄅㄚˋㄅㄧㄥ	罷兵	0
ㄅㄚˋㄇㄚ	爸媽	140
ㄅㄚˋㄇㄧㄢˇ	罷免	39
ㄅㄚˋㄇㄧㄢˇㄈㄚˇ	罷免法	6
ㄅㄚˋㄇㄧㄢˇㄑㄩㄢˊ	罷免權	0
ㄅㄚˋㄉㄠˋ	霸道	27
ㄅㄚˋㄉㄠˋㄏㄥˊㄒㄧㄥˊ	霸道橫行	0
ㄅㄚˋㄊㄧㄢ	霸天	1
ㄅㄚˋㄊㄨˇ	耙土	0
ㄅㄚˋㄊㄨˊ	霸圖	0
ㄅㄚˋㄊㄨㄟˋ	罷退	0
ㄅㄚˋㄌㄜ˙	罷了	251
ㄅㄚˋㄌㄧˊ	耙犁	0
ㄅㄚˋㄌㄧㄠˇ	罷了	251
ㄅㄚˋㄌㄧㄥˊ	霸凌	118
ㄅㄚˋㄍㄨㄢ	罷官	1
ㄅㄚˋㄍㄨㄥ	罷工	181
ㄅㄚˋㄎㄜˋ	罷課	7
ㄅㄚˋㄎㄞ	耙開	0
ㄅㄚˋㄐㄧ	霸機	1
ㄅㄚˋㄐㄧㄠ	罷教	12
ㄅㄚˋㄐㄧㄠㄑㄩㄢˊ	罷教權	5
ㄅㄚˋㄑㄧˋ	霸氣	30
ㄅㄚˋㄑㄧㄠˊ	灞橋	0
ㄅㄚˋㄑㄩㄢˊ	霸權	36
ㄅㄚˋㄑㄩㄢˊㄓㄨˇㄧˋ	霸權主義	0
ㄅㄚˋㄒㄧㄡ	罷休	16
ㄅㄚˋㄓˊ	罷職	0
ㄅㄚˋㄓㄜˇ	霸者	0
ㄅㄚˋㄓㄢˋ	霸佔	19
ㄅㄚˋㄓㄢˋ	霸占	1
ㄅㄚˋㄓㄢˋㄓㄨˋ	霸佔住	0
ㄅㄚˋㄓㄨˇ	霸主	16
ㄅㄚˋㄔˋ	罷斥	0
ㄅㄚˋㄔㄠˊ	罷朝	0
ㄅㄚˋㄔㄨˋ	罷黜	14
ㄅㄚˋㄔㄨˋㄅㄞˇㄐㄧㄚ	罷黜百家	3
ㄅㄚˋㄕˋ	罷市	1
ㄅㄚˋㄕㄡˇ	罷手	7
ㄅㄚˋㄗ˙	壩子	0
ㄅㄚˋㄗ˙	耙子	1
ㄅㄚˋㄙㄞˋ	罷賽	4
ㄅㄚˋㄙㄨˋ	罷訴	4
ㄅㄚˋㄙㄨㄥˋ	罷訟	4
ㄅㄚˋㄧㄝˋ	霸業	9
