ㄅㄤ	梆
ㄅㄤ	鞤
ㄅㄤ	縍
ㄅㄤ	垹
ㄅㄤˇ	榜
ㄅㄤˇ	綁
ㄅㄤˇ	牓
ㄅㄤˇ	膀
ㄅㄤˇ	氆
ㄅㄤˋ	棒
ㄅㄤˋ	磅
ㄅㄤˋ	謗
ㄅㄤˋ	蚌
ㄅㄤˋ	傍
ㄅㄤˋ	鎊
ㄅㄤˋ	旁
ㄅㄤˋ	甏
ㄅㄤˋ	塝
ㄅㄤˋ	艕
ㄅㄤˋ	蒡
ㄅㄛ	玻
ㄅㄛ	撥
ㄅㄛ	剝
ㄅㄛ	菠
ㄅㄛ	缽
ㄅㄛ	嶓
ㄅㄛ	砵
ㄅㄛ	播
ㄅㄛ	般
ㄅㄛ	碆
ㄅㄛ	袚
ㄅㄛ	襏
ㄅㄛ	鱍
ㄅㄛ	啵
ㄅㄛ	柭
ㄅㄛ	蹳
ㄅㄛ	岥
ㄅㄛ	蔔
ㄅㄛ	波
ㄅㄛ	鉢
ㄅㄛˇ	跛
ㄅㄛˇ	簸
ㄅㄛˇ	蚾
ㄅㄛˋ	播
ㄅㄛˋ	擘
ㄅㄛˋ	簸
ㄅㄛˋ	亳
ㄅㄛˋ	薜
ㄅㄛˋ	譒
ㄅㄛˋ	薄
ㄅㄛˋ	檗
ㄅㄛˋ	蘗
ㄅㄛˋ	繴
ㄅㄛˋ	挀
ㄅㄛˊ	伯
ㄅㄛˊ	博
ㄅㄛˊ	柏
ㄅㄛˊ	泊
ㄅㄛˊ	勃
ㄅㄛˊ	搏
ㄅㄛˊ	渤
ㄅㄛˊ	駁
ㄅㄛˊ	白
ㄅㄛˊ	薄
ㄅㄛˊ	脖
ㄅㄛˊ	帛
ㄅㄛˊ	舶
ㄅㄛˊ	箔
ㄅㄛˊ	荸
ㄅㄛˊ	蔔
ㄅㄛˊ	膊
ㄅㄛˊ	鈸
ㄅㄛˊ	餑
ㄅㄛˊ	鉑
ㄅㄛˊ	欂
ㄅㄛˊ	鵓
ㄅㄛˊ	踣
ㄅㄛˊ	浡
ㄅㄛˊ	襮
ㄅㄛˊ	踄
ㄅㄛˊ	鎛
ㄅㄛˊ	駮
ㄅㄛˊ	僰
ㄅㄛˊ	餺
ㄅㄛˊ	髆
ㄅㄛˊ	桲
ㄅㄛˊ	謈
ㄅㄛˊ	檗
ㄅㄛˊ	馞
ㄅㄛˊ	胉
ㄅㄛˊ	挬
ㄅㄛˊ	猼
ㄅㄛˊ	葧
ㄅㄛˊ	鋍
ㄅㄛˊ	懪
ㄅㄛˊ	簙
ㄅㄛˊ	礴
ㄅㄛˊ	礡
ㄅㄛˊ	鑮
ㄅㄛˊ	郣
ㄅㄛˊ	鸔
ㄅㄛˊ	糪
ㄅㄛ˙	蔔
ㄅㄨ	逋
ㄅㄨ	晡
ㄅㄨ	餔
ㄅㄨ	峬
ㄅㄨ	鵏
ㄅㄨˇ	補
ㄅㄨˇ	捕
ㄅㄨˇ	埔
ㄅㄨˇ	哺
ㄅㄨˇ	卜
ㄅㄨˇ	鳪
ㄅㄨˇ	獛
ㄅㄨˋ	不
ㄅㄨˋ	部
ㄅㄨˋ	布
ㄅㄨˋ	步
ㄅㄨˋ	怖
ㄅㄨˋ	佈
ㄅㄨˋ	簿
ㄅㄨˋ	埠
ㄅㄨˋ	鈽
ㄅㄨˋ	蔀
ㄅㄨˋ	篰
ㄅㄨˋ	捗
ㄅㄨˋ	咘
ㄅㄨˊ	不
ㄅㄠ	包
ㄅㄠ	胞
ㄅㄠ	苞
ㄅㄠ	褒
ㄅㄠ	枹
ㄅㄠ	笣
ㄅㄠ	蕔
ㄅㄠ	孢
ㄅㄠ	煲
ㄅㄠˇ	保
ㄅㄠˇ	寶
ㄅㄠˇ	飽
ㄅㄠˇ	堡
ㄅㄠˇ	褓
ㄅㄠˇ	葆
ㄅㄠˇ	鴇
ㄅㄠˇ	怉
ㄅㄠˇ	駂
ㄅㄠˇ	鳵
ㄅㄠˇ	媬
ㄅㄠˋ	報
ㄅㄠˋ	抱
ㄅㄠˋ	暴
ㄅㄠˋ	爆
ㄅㄠˋ	豹
ㄅㄠˋ	鮑
ㄅㄠˋ	刨
ㄅㄠˋ	趵
ㄅㄠˋ	鉋
ㄅㄠˋ	虣
ㄅㄠˋ	鑤
ㄅㄠˋ	儤
ㄅㄠˋ	菢
ㄅㄠˋ	袌
ㄅㄠˋ	嚗
ㄅㄠˋ	犦
ㄅㄠˋ	忁
ㄅㄠˊ	雹
ㄅㄠˊ	薄
ㄅㄠˊ	窇
ㄅㄠˊ	瓝
ㄅㄠ˙	寶
ㄅㄟ	背
ㄅㄟ	杯
ㄅㄟ	悲
ㄅㄟ	卑
ㄅㄟ	碑
ㄅㄟ	俾
ㄅㄟ	揹
ㄅㄟ	偝
ㄅㄟ	盃
ㄅㄟ	裨
ㄅㄟ	萆
ㄅㄟ	桮
ㄅㄟ	椑
ㄅㄟ	伓
ㄅㄟ	綼
ㄅㄟ	鵯
ㄅㄟ	藣
ㄅㄟ	埤
ㄅㄟˇ	北
ㄅㄟˋ	被
ㄅㄟˋ	備
ㄅㄟˋ	背
ㄅㄟˋ	貝
ㄅㄟˋ	輩
ㄅㄟˋ	倍
ㄅㄟˋ	臂
ㄅㄟˋ	狽
ㄅㄟˋ	憊
ㄅㄟˋ	悖
ㄅㄟˋ	孛
ㄅㄟˋ	焙
ㄅㄟˋ	蓓
ㄅㄟˋ	褙
ㄅㄟˋ	邶
ㄅㄟˋ	琲
ㄅㄟˋ	誖
ㄅㄟˋ	鋇
ㄅㄟˋ	哱
ㄅㄟˋ	糒
ㄅㄟˋ	梖
ㄅㄟˋ	珼
ㄅㄟˋ	鄁
ㄅㄟˋ	牬
ㄅㄟˋ	郥
ㄅㄟˋ	犕
ㄅㄟˋ	奰
ㄅㄟ˙	唄
ㄅㄣ	奔
ㄅㄣ	賁
ㄅㄣ	錛
ㄅㄣ	泍
ㄅㄣ	渀
ㄅㄣ	犇
ㄅㄣˇ	本
ㄅㄣˇ	畚
ㄅㄣˇ	苯
ㄅㄣˋ	笨
ㄅㄣˋ	体
ㄅㄣˋ	坌
ㄅㄧ	逼
ㄅㄧ	屄
ㄅㄧ	偪
ㄅㄧ	稫
ㄅㄧ	豍
