ㄑㄩㄢˊㄅㄨˋㄧㄡˇ	全部有
ㄑㄩㄢˊㄅㄨˋㄉㄜ˙	全部的
ㄑㄩㄢˊㄅㄨˋㄉㄡ	全部都
ㄑㄩㄢˊㄅㄨˋㄉㄡㄕˋ	全部都是
ㄑㄩㄢˊㄉㄡ	全都
ㄑㄩㄢˊㄉㄡㄕˋ	全都是
ㄑㄩㄢˊㄉㄡㄏㄨㄟˋ	全都會
ㄑㄩㄢˊㄉㄡㄧㄡˇ	全都有
ㄑㄩㄢˊㄔㄤˊ	全長
ㄑㄩㄢˊㄎㄞ	全開
ㄑㄩㄢˊㄐㄧˊ	全集
ㄑㄩㄢˊㄎㄠˋ	全靠
ㄑㄩㄢˊㄇㄧㄢˋ	全面
ㄑㄩㄢˊㄇㄧㄢˋㄕˊㄕ	全麵實施
ㄑㄩㄢˊㄇㄧㄢˋㄒㄧㄥˋ	全面性
ㄑㄩㄢˊㄇㄧㄢˋㄓㄢˋㄓㄥ	全麵戰爭
ㄑㄩㄢˊㄇㄧㄢˋㄈㄚㄓㄢˇ	全麵發展
ㄑㄩㄢˊㄇㄧㄢˋㄉㄜ˙	全麵的
ㄑㄩㄢˊㄇㄧㄢˋㄍㄨㄟㄏㄨㄚˋ	全麵規劃
ㄑㄩㄢˊㄇㄧㄢˋㄐㄧㄣˋㄒㄧㄥˊ	全麵進行
ㄑㄩㄢˊㄧㄣㄈㄨˊ	全音符
ㄑㄩㄢˊㄜˊ	全額
ㄑㄩㄢˊㄜˊㄐㄧㄠㄍㄜ	全額交割
ㄑㄩㄢˊㄜˊㄐㄧㄠㄍㄜㄍㄨˇ	全額交割股
ㄑㄩㄢˊㄜˊㄐㄧㄠㄍㄜㄍㄨˇㄆㄧㄠˋ	全額交割股票
ㄑㄩㄢˊㄜˊㄐㄧㄤˇㄒㄩㄝˊㄐㄧㄣ	全額獎學金
ㄑㄩㄢˊㄜˊㄐㄧㄤˇㄐㄧㄣ	全額獎金
ㄑㄩㄢˊㄊㄧˇ	全體
ㄑㄩㄢˊㄊㄧˇㄌㄧˋㄧˋ	全體利益
ㄑㄩㄢˊㄊㄧˇㄊㄨㄥˊㄖㄣˊ	全體同仁
ㄑㄩㄢˊㄊㄧˇㄍㄨㄢㄅㄧㄥ	全體官兵
ㄑㄩㄢˊㄊㄧˇㄕㄕㄥ	全體師生
ㄑㄩㄢˊㄇㄞˋㄊㄨˇㄙ	全麥土司
ㄑㄩㄢˊㄉㄤˇ	全黨
ㄌㄧㄤˇㄙㄢㄒㄧㄚˋ	兩三下
ㄌㄧㄤˇㄙㄢㄑㄧㄢ	兩三千
ㄌㄧㄤˇㄙㄢㄅㄞˇ	兩三百
ㄌㄧㄤˇㄙㄢㄨㄢˋ	兩三萬
ㄌㄧㄤˇㄒㄧㄚˋ	兩下
ㄌㄧㄤˇㄒㄧㄚˋㄗ˙	兩下子
ㄌㄧㄤˇㄖㄣˊ	兩人
ㄌㄧㄤˇㄖㄣˊㄈㄣˋ	兩人份
ㄌㄧㄤˇㄖㄣˊㄊㄨㄥˊㄒㄧㄣ	兩人同心
ㄌㄧㄤˇㄖㄣˊㄈㄤˊ	兩人房
ㄌㄧㄤˇㄑㄧㄢㄌㄧㄡˋ	兩仟六
ㄌㄧㄤˇㄑㄧㄢㄉㄨㄛ	兩仟多
ㄌㄧㄤˇㄉㄞˋ	兩代
ㄌㄧㄤˇㄐㄧㄢˋ	兩件
ㄌㄧㄤˇㄐㄧㄢˋㄕˋ	兩件事
ㄌㄧㄤˇㄖㄣˋ	兩任
ㄌㄧㄤˇㄈㄣˋ	兩份
ㄌㄧㄤˇㄧ	兩伊
ㄌㄧㄤˇㄧㄓㄢˋㄓㄥ	兩伊戰爭
ㄌㄧㄤˇㄨㄟˋ	兩位
ㄌㄧㄤˇㄨㄟˋㄕㄨˋ	兩位數
ㄌㄧㄤˇㄅㄧㄢˋ	兩便
ㄌㄧㄤˇㄍㄜ˙	兩個
ㄌㄧㄤˇㄍㄜ˙ㄖㄣˊ	兩個人
ㄌㄧㄤˇㄍㄜˋㄗˋ	兩個字
ㄌㄧㄤˇㄍㄜ˙ㄗˋ	兩個字
ㄌㄧㄤˇㄍㄜ˙ㄩㄝˋ	兩個月
ㄌㄧㄤˇㄅㄟˋ	兩倍
ㄌㄧㄤˇㄘㄜˋ	兩側
ㄌㄧㄤˇㄧˊ	兩儀
ㄌㄧㄤˇㄧˋ	兩億
ㄌㄧㄤˇㄧˋㄖㄣˊ	兩億人
ㄌㄧㄤˇㄧˋㄩㄢˊ	兩億元
ㄌㄧㄤˇㄧˋㄉㄨㄛ	兩億多
ㄌㄧㄤˇㄩㄢˊ	兩元
ㄌㄧㄤˇㄍㄨㄤ	兩光
ㄌㄧㄤˇㄎㄜˋ	兩克
ㄌㄧㄤˇㄑㄩㄢˊ	兩全
ㄌㄧㄤˇㄑㄩㄢˊㄑㄧˊㄇㄟˇ	兩全其美
ㄌㄧㄤˇㄌㄧㄤˇ	兩兩
ㄌㄧㄤˇㄐㄩˋ	兩具
ㄌㄧㄤˇㄉㄠ	兩刀
ㄌㄧㄤˇㄈㄣ	兩分
ㄌㄧㄤˇㄈㄣㄓㄨㄥ	兩分鐘
ㄌㄧㄤˇㄈㄣㄓㄨㄥㄓㄣㄊㄢˋ	兩分鐘偵探
ㄌㄧㄤˇㄌㄧˋ	兩利
ㄌㄧㄤˇㄐㄧˋ	兩劑
ㄌㄧㄤˇㄑㄧㄢ	兩千
ㄌㄧㄤˇㄑㄧㄢㄖㄣˊ	兩千人
ㄌㄧㄤˇㄑㄧㄢㄍㄜ˙	兩千個
ㄌㄧㄤˇㄑㄧㄢㄩㄢˊ	兩千元
ㄌㄧㄤˇㄑㄧㄢㄎㄨㄞˋ	兩千塊
ㄌㄧㄤˇㄑㄧㄢㄋㄧㄢˊ	兩千年
ㄌㄧㄤˇㄅㄢˋ	兩半
ㄌㄧㄤˇㄎㄡˇ	兩口
ㄌㄧㄤˇㄎㄡˇㄗ˙	兩口子
ㄌㄧㄤˇㄎㄡˇㄑㄧˋ	兩口氣
ㄌㄧㄤˇㄐㄩˋㄏㄨㄚˋ	兩句話
ㄌㄧㄤˇㄎㄜˇ	兩可
ㄌㄧㄤˇㄎㄜˇㄓㄐㄧㄢ	兩可之間
ㄌㄧㄤˇㄊㄞˊ	兩臺
ㄌㄧㄤˇㄓㄡ	兩周
ㄌㄧㄤˇㄓㄡㄋㄧㄢˊ	兩周年
ㄌㄧㄤˇㄏㄨㄟˊ	兩回
ㄌㄧㄤˇㄏㄨㄟˊㄕˋ	兩回事
ㄌㄧㄤˇㄑㄩㄢ	兩圈
ㄌㄧㄤˇㄍㄨㄛˊ	兩國
ㄌㄧㄤˇㄍㄨㄛˊㄖㄣˊㄇㄧㄣˊ	兩國人民
ㄌㄧㄤˇㄍㄨㄛˊㄌㄨㄣˋ	兩國論
ㄌㄧㄤˇㄉㄧˋ	兩地
ㄌㄧㄤˇㄉㄧˋㄒㄧㄤㄙ	兩地相思
ㄌㄧㄤˇㄉㄨㄟ	兩堆
ㄌㄧㄤˇㄎㄨㄞˋ	兩塊
ㄌㄧㄤˇㄎㄨㄞˋㄑㄧㄢˊ	兩塊錢
ㄌㄧㄤˇㄏㄨˊ	兩壺
ㄌㄧㄤˇㄧㄝˋ	兩夜
ㄌㄧㄤˇㄉㄚˋ	兩大
ㄌㄧㄤˇㄉㄚˋㄎㄨㄞˋ	兩大塊
ㄌㄧㄤˇㄉㄚˋㄆㄧㄢˋ	兩大片
ㄌㄧㄤˇㄉㄚˋㄌㄟˋ	兩大類
ㄌㄧㄤˇㄊㄧㄢ	兩天
ㄌㄧㄤˇㄊㄧㄢㄧㄧㄝˋ	兩天一夜
ㄌㄧㄤˇㄊㄧㄢㄧˊㄧㄝˋ	兩天一夜
ㄌㄧㄤˇㄊㄧㄢㄕㄞˋㄨㄤˇ	兩天曬網
ㄌㄧㄤˇㄋㄩˇ	兩女
ㄌㄧㄤˇㄋㄩˇㄧㄋㄢˊ	兩女一男
ㄌㄧㄤˇㄋㄩˇㄧˋㄋㄢˊ	兩女一男
ㄌㄧㄤˇㄋㄩˇㄌㄧㄤˇㄋㄢˊ	兩女兩男
ㄌㄧㄤˇㄏㄞˋㄒㄧㄤㄑㄩㄢˊ	兩害相權
ㄌㄧㄤˇㄐㄧㄚ	兩家
ㄌㄧㄤˇㄐㄧㄚㄖㄣˊ	兩家人
ㄌㄧㄤˇㄕㄣˇㄓㄨㄥㄕㄣˇ	兩審終審
ㄌㄧㄤˇㄈㄥ	兩封
ㄌㄧㄤˇㄈㄥㄒㄧㄣˋ	兩封信
ㄌㄧㄤˇㄉㄨㄟˋ	兩對
ㄌㄧㄤˇㄒㄧㄠˇㄕˊ	兩小時
ㄌㄧㄤˇㄒㄧㄠˇㄕˊㄏㄡˋ	兩小時後
ㄌㄧㄤˇㄒㄧㄠˇㄨˊㄒㄧㄢˊ	兩小無嫌
ㄌㄧㄤˇㄒㄧㄠˇㄨˊㄘㄞ	兩小無猜
ㄌㄧㄤˇㄨㄟˇ	兩尾
ㄌㄧㄤˇㄐㄩˊ	兩局
ㄌㄧㄤˇㄐㄧㄝˋ	兩屆
ㄌㄧㄤˇㄘㄥˊ	兩層
ㄌㄧㄤˇㄘㄥˊㄌㄡˊ	兩層樓
ㄌㄧㄤˇㄢˋ	兩岸
ㄌㄧㄤˇㄢˋㄊㄨㄥㄏㄤˊ	兩岸通航
ㄌㄧㄤˇㄢˋㄍㄨㄢㄒㄧˋ	兩岸關係
ㄌㄧㄤˇㄕˋ	兩市
ㄌㄧㄤˇㄒㄧˊ	兩席
ㄌㄧㄤˇㄇㄨˋㄐㄧㄢ	兩幕間
ㄌㄧㄤˇㄋㄧㄢˊ	兩年
ㄌㄧㄤˇㄋㄧㄢˊㄕㄥ	兩年生
ㄌㄧㄤˇㄉㄨˋ	兩度
ㄌㄧㄤˇㄒㄧㄤㄑㄧㄥˊㄩㄢˋ	兩廂情願
ㄌㄧㄤˇㄍㄨㄤˇ	兩廣
ㄌㄧㄤˇㄍㄨㄤˇㄗㄨㄥˇㄉㄨ	兩廣總督
ㄌㄧㄤˇㄊㄧㄥ	兩廳
ㄌㄧㄤˇㄉㄜˊㄧˋㄓㄤ	兩得益彰
ㄌㄧㄤˇㄒㄧㄥˋ	兩性
ㄌㄧㄤˇㄒㄧㄥˋㄓㄐㄧㄢ	兩性之間
ㄌㄧㄤˇㄒㄧㄥˋㄖㄣˊ	兩性人
ㄌㄧㄤˇㄒㄧㄥˋㄆㄧㄥˊㄉㄥˇ	兩性平等
ㄌㄧㄤˇㄒㄧㄥˋㄆㄧㄥˊㄉㄥˇㄐㄧㄠˋㄩˋ	兩性平等教育
ㄌㄧㄤˇㄒㄧㄥˋㄐㄧㄠˋㄩˋ	兩性教育
ㄌㄧㄤˇㄒㄧㄥˋㄒㄧㄤㄔㄨˇ	兩性相處
ㄌㄧㄤˇㄒㄧㄥˋㄏㄨㄚ	兩性花
ㄌㄧㄤˇㄒㄧㄥˋㄐㄧㄢ	兩性間
ㄌㄧㄤˇㄑㄧㄥˊㄒㄧㄤㄩㄝˋ	兩情相悅
ㄌㄧㄤˇㄔㄥˊ	兩成
ㄌㄧㄤˇㄐㄧㄝˊ	兩截
ㄌㄧㄤˇㄐㄧㄝˊㄕˋ	兩截式
ㄌㄧㄤˇㄏㄨˋ	兩戶
ㄌㄧㄤˇㄈㄤˊ	兩房
ㄌㄧㄤˇㄕㄡˇ	兩手
ㄌㄧㄤˇㄕㄡˇㄐㄩˋㄌㄧˋ	兩手俱利
ㄌㄧㄤˇㄕㄡˇㄎㄨㄥㄎㄨㄥ	兩手空空
ㄌㄧㄤˇㄉㄚˇ	兩打
ㄌㄧㄤˇㄅㄚˇ	兩把
ㄌㄧㄤˇㄅㄚˇㄕㄨㄚㄗ˙	兩把刷子
ㄌㄧㄤˇㄆㄞ	兩拍
ㄌㄧㄤˇㄆㄞˊ	兩排
ㄌㄧㄤˇㄓ	兩支
ㄌㄧㄤˇㄅㄞˋㄐㄩˋㄕㄤ	兩敗俱傷
ㄌㄧㄤˇㄈㄤ	兩方
ㄌㄧㄤˇㄈㄤㄇㄧㄢˋ	兩方麵
ㄌㄧㄤˇㄆㄤˊ	兩旁
ㄌㄧㄤˇㄖˋ	兩日
ㄌㄧㄤˇㄖˋㄈㄣˋ	兩日份
ㄌㄧㄤˇㄐㄧㄣˋ	兩晉
ㄌㄧㄤˇㄨㄢˇ	兩晚
ㄌㄧㄤˇㄑㄧˊ	兩期
ㄌㄧㄤˇㄅㄣˇ	兩本
ㄌㄧㄤˇㄅㄣˇㄕㄨ	兩本書
ㄌㄧㄤˇㄉㄨㄛˇ	兩朵
ㄌㄧㄤˇㄉㄨㄛˇㄏㄨㄚ	兩朵花
ㄌㄧㄤˇㄅㄟ	兩杯
ㄌㄧㄤˇㄅㄢˇ	兩板
ㄌㄧㄤˇㄐㄧㄚˋ	兩架
ㄌㄧㄤˇㄍㄜˊ	兩格
ㄌㄧㄤˇㄊㄨㄥˇ	兩桶
ㄌㄧㄤˇㄍㄢˇ	兩桿
ㄌㄧㄤˇㄊㄧㄠˊ	兩條
ㄌㄧㄤˇㄊㄧㄠˊㄊㄨㄟˇㄗㄡˇ	兩條腿走
ㄌㄧㄤˇㄊㄧㄠˊㄌㄨˋ	兩條路
ㄌㄧㄤˇㄊㄧㄠˊㄉㄠˋㄌㄨˋ	兩條道路
ㄌㄧㄤˇㄊㄧ	兩梯
ㄌㄧㄤˇㄊㄧㄘˋ	兩梯次
ㄌㄧㄤˇㄑㄧ	兩棲
ㄌㄧㄤˇㄑㄧㄗㄨㄛˋㄓㄢˋ	兩棲作戰
ㄌㄧㄤˇㄑㄧㄉㄨㄥˋㄨˋ	兩棲動物
ㄌㄧㄤˇㄑㄧㄉㄥㄌㄨˋ	兩棲登陸
ㄌㄧㄤˇㄑㄧㄅㄨˋㄉㄨㄟˋ	兩棲部隊
ㄌㄧㄤˇㄑㄧㄌㄟˋ	兩棲類
ㄌㄧㄤˇㄎㄜ	兩棵
ㄌㄧㄤˇㄐㄧˊ	兩極
ㄌㄧㄤˇㄐㄧˊㄈㄣㄏㄨㄚˋ	兩極分化
ㄌㄧㄤˇㄐㄧˊㄏㄨㄚˋ	兩極化
ㄌㄧㄤˇㄐㄧˊㄍㄨㄢˇ	兩極管
ㄌㄧㄤˇㄑㄧㄤ	兩槍
ㄌㄧㄤˇㄍㄤˋ	兩槓
ㄌㄧㄤˇㄧㄤˋ	兩樣
ㄌㄧㄤˇㄉㄤˇ	兩檔
ㄌㄧㄤˇㄑㄩㄢˊㄈㄣㄌㄧˋ	兩權分立
ㄌㄧㄤˇㄘˋ	兩次
ㄌㄧㄤˇㄘˋㄙㄢㄈㄢ	兩次三番
ㄌㄧㄤˇㄘˋㄩㄣˋㄑㄧㄡˊ	兩次運球
ㄌㄧㄤˇㄅㄨˋ	兩步
ㄌㄧㄤˇㄙㄨㄟˋ	兩歲
ㄌㄧㄤˇㄉㄨㄢˋ	兩段
ㄌㄧㄤˇㄉㄨㄢˋㄓˋ	兩段制
ㄌㄧㄤˇㄉㄨㄢˋㄕˋ	兩段式
ㄌㄧㄤˇㄉㄨㄢˋㄆㄧㄠˋ	兩段票
ㄌㄧㄤˇㄐㄧㄤ	兩江
ㄌㄧㄤˇㄏㄜˊ	兩河
ㄌㄧㄤˇㄐㄧㄣㄎㄢㄐㄧˊ	兩津勘吉
ㄌㄧㄤˇㄆㄞˋ	兩派
ㄌㄧㄤˇㄆㄞˋㄖㄣˊㄇㄚˇ	兩派人馬
ㄌㄧㄤˇㄏㄨㄞˊ	兩淮
ㄌㄧㄤˇㄏㄨˊㄗㄨㄥˇㄉㄨ	兩湖總督
ㄌㄧㄤˇㄉㄧ	兩滴
ㄌㄧㄤˇㄏㄢˋ	兩漢
ㄌㄧㄤˇㄒㄧㄙㄨㄢㄓˇ	兩烯酸酯
ㄌㄧㄤˇㄅㄢ	兩班
ㄌㄧㄤˇㄅㄢㄓˋ	兩班制
ㄌㄧㄤˇㄆㄧㄥˊ	兩瓶
ㄌㄧㄤˇㄕㄥㄌㄟˋ	兩生類
ㄌㄧㄤˇㄩㄥˋ	兩用
ㄌㄧㄤˇㄋㄢˊ	兩男
ㄌㄧㄤˇㄋㄢˊㄧㄋㄩˇ	兩男一女
ㄌㄧㄤˇㄋㄢˊㄧˋㄋㄩˇ	兩男一女
ㄌㄧㄤˇㄋㄢˊㄌㄧㄤˇㄋㄩˇ	兩男兩女
ㄌㄧㄤˇㄅㄞˇ	兩百
ㄌㄧㄤˇㄅㄞˇㄑㄧ	兩百七
ㄌㄧㄤˇㄅㄞˇㄨˇ	兩百五
ㄌㄧㄤˇㄅㄞˇㄨˇㄕˊ	兩百五十
ㄌㄧㄤˇㄅㄞˇㄖㄣˊ	兩百人
ㄌㄧㄤˇㄅㄞˇㄍㄜ˙	兩百個
ㄌㄧㄤˇㄅㄞˇㄩㄢˊ	兩百元
ㄌㄧㄤˇㄅㄞˇㄅㄚ	兩百八
ㄌㄧㄤˇㄅㄞˇㄎㄨㄞˋ	兩百塊
ㄌㄧㄤˇㄅㄞˇㄉㄨㄛ	兩百多
ㄌㄧㄤˇㄅㄞˇㄨㄢˋ	兩百萬
ㄌㄧㄤˇㄅㄞˇㄅㄨˋ	兩百部
ㄌㄧㄤˇㄒㄧㄤ	兩相
ㄌㄧㄤˇㄧㄢˇ	兩眼
ㄌㄧㄤˇㄧㄢˇㄈㄚㄓˊ	兩眼發直
ㄌㄧㄤˇㄉㄨㄢˇㄙㄢㄔㄤˊ	兩短三長
ㄌㄧㄤˇㄨㄢˇㄈㄢˋ	兩碗飯
ㄌㄧㄤˇㄇㄚˇ	兩碼
ㄌㄧㄤˇㄇㄚˇㄕˋ	兩碼事
ㄌㄧㄤˇㄇㄚˇㄗ˙	兩碼子
ㄌㄧㄤˇㄇㄚˇㄗ˙ㄕˋ	兩碼子事
ㄌㄧㄤˇㄆㄧㄠˋ	兩票
ㄌㄧㄤˇㄇㄧㄠˇ	兩秒
ㄌㄧㄤˇㄇㄧㄠˇㄓㄨㄥ	兩秒鐘
ㄌㄧㄤˇㄓㄨㄥˇ	兩種
ㄌㄧㄤˇㄓㄨㄥˇㄖㄣˊ	兩種人
ㄌㄧㄤˇㄉㄨㄢ	兩端
ㄌㄧㄤˇㄉㄨㄢㄕㄡˇㄕㄨˇ	兩端首鼠
ㄌㄧㄤˇㄐㄧㄝˊㄎㄜˋ	兩節課
ㄌㄧㄤˇㄌㄧˋㄓㄨㄤ	兩粒裝
ㄌㄧㄤˇㄩㄝˋ	兩粵
ㄌㄧㄤˇㄩㄝˋㄗㄨㄥˇㄉㄨ	兩粵總督
ㄌㄧㄤˇㄍㄤ	兩缸
ㄌㄧㄤˇㄓㄜˇ	兩者
ㄌㄧㄤˇㄓㄜˇㄑㄩㄝㄧㄅㄨˋㄎㄜˇ	兩者缺一不可
ㄌㄧㄤˇㄦˇ	兩耳
ㄌㄧㄤˇㄌㄧㄢˊ	兩聯
ㄌㄧㄤˇㄌㄧㄢˊㄕˋ	兩聯式
ㄌㄧㄤˇㄌㄜˋ	兩肋
ㄌㄧㄤˇㄌㄜˋㄔㄚㄉㄠ	兩肋插刀
ㄌㄧㄤˇㄍㄨˇ	兩股
ㄌㄧㄤˇㄍㄨˇㄌㄧˋㄌㄧㄤˋ	兩股力量
ㄌㄧㄤˇㄊㄞ	兩胎
ㄌㄧㄤˇㄐㄧㄠˇ	兩腳
ㄌㄧㄤˇㄐㄧㄠˇㄕㄨㄔㄨˊ	兩腳書櫥
ㄌㄧㄤˇㄐㄧㄠˇㄍㄨㄟ	兩腳規
ㄌㄧㄤˇㄨㄢˋ	兩萬
ㄌㄧㄤˇㄨㄢˋㄑㄧ	兩萬七
ㄌㄧㄤˇㄨㄢˋㄦˋ	兩萬二
ㄌㄧㄤˇㄨㄢˋㄨˇ	兩萬五
ㄌㄧㄤˇㄨㄢˋㄖㄣˊ	兩萬人
ㄌㄧㄤˇㄨㄢˋㄍㄜ˙	兩萬個
ㄌㄧㄤˇㄨㄢˋㄩㄢˊ	兩萬元
ㄌㄧㄤˇㄨㄢˋㄎㄨㄞˋ	兩萬塊
ㄌㄧㄤˇㄨㄢˋㄉㄨㄛ	兩萬多
ㄌㄧㄤˇㄏㄨˇㄒㄧㄤㄉㄡˋ	兩虎相鬥
ㄌㄧㄤˇㄏㄠˋ	兩號
ㄌㄧㄤˇㄒㄧㄡˋ	兩袖
ㄌㄧㄤˇㄒㄧㄡˋㄑㄧㄥㄈㄥ	兩袖清風
ㄌㄧㄤˇㄑㄧˋ	兩訖
ㄌㄧㄤˇㄑㄧˇ	兩起
ㄌㄧㄤˇㄌㄨˋ	兩路
ㄌㄧㄤˇㄌㄨˋㄏㄥˊㄉㄨㄟˋ	兩路橫隊
ㄌㄧㄤˇㄌㄨˋㄗㄨㄥˋㄉㄨㄟˋ	兩路縱隊
ㄌㄧㄤˇㄐㄩㄣ	兩軍
ㄌㄧㄤˇㄐㄩㄣㄖㄣˊㄇㄚˇ	兩軍人馬
ㄌㄧㄤˇㄌㄧㄤˋ	兩輛
ㄌㄧㄤˇㄌㄧㄤˋㄔㄜ	兩輛車
ㄌㄧㄤˇㄊㄨㄥ	兩通
ㄌㄧㄤˇㄗㄠˋ	兩造
ㄌㄧㄤˇㄉㄠˋ	兩道
ㄌㄧㄤˇㄉㄠˋㄘㄞˋ	兩道菜
ㄌㄧㄤˇㄅㄧㄢ	兩邊
ㄌㄧㄤˇㄅㄧㄢㄉㄠˇ	兩邊倒
ㄌㄧㄤˇㄅㄧㄢㄉㄜ˙	兩邊的
ㄌㄧㄤˇㄅㄧㄢㄊㄠˇㄏㄠˇ	兩邊討好
ㄌㄧㄤˇㄔㄨㄥˊ	兩重
ㄌㄧㄤˇㄔㄨㄥˊㄒㄧㄥˋ	兩重性
ㄌㄧㄤˇㄔㄨㄥˊㄧˋㄧˋ	兩重意義
ㄌㄧㄤˇㄑㄧㄢˊ	兩錢
ㄌㄧㄤˇㄍㄨㄛ	兩鍋
ㄌㄧㄤˇㄐㄧㄢ	兩間
ㄌㄧㄤˇㄩㄢˋ	兩院
ㄌㄧㄤˇㄩㄢˋㄓˋ	兩院制
ㄌㄧㄤˇㄐㄧㄝ	兩階
ㄌㄧㄤˇㄓㄌㄠˇㄏㄨˇ	兩隻老虎
ㄌㄧㄤˇㄓㄋㄧㄠˇ	兩隻鳥
ㄌㄧㄤˇㄕㄨㄤ	兩雙
ㄌㄧㄤˇㄇㄧㄢˋ	兩麵
ㄌㄧㄤˇㄇㄧㄢˋㄙㄢㄉㄠ	兩麵三刀
ㄌㄧㄤˇㄇㄧㄢˋㄗㄨㄛˋㄓㄢˋ	兩麵作戰
ㄌㄧㄤˇㄇㄧㄢˋㄉㄠˇ	兩麵倒
ㄌㄧㄤˇㄇㄧㄢˋㄍㄨㄤ	兩麵光
ㄌㄧㄤˇㄇㄧㄢˋㄐㄧㄚˊㄍㄨㄥ	兩麵夾攻
ㄌㄧㄤˇㄇㄧㄢˋㄒㄧㄥˋ	兩麵性
ㄌㄧㄤˇㄇㄧㄢˋㄕㄡˇㄈㄚˇ	兩麵手法
ㄌㄧㄤˇㄇㄧㄢˋㄆㄞˋ	兩麵派
ㄌㄧㄤˇㄇㄧㄢˋㄊㄠˇㄏㄠˇ	兩麵討好
ㄌㄧㄤˇㄒㄧㄤˋ	兩項
ㄌㄧㄤˇㄊㄡˊ	兩頭
ㄌㄧㄤˇㄊㄡˊㄐㄧㄢ	兩頭尖
ㄌㄧㄤˇㄊㄡˊㄨㄟˊㄋㄢˊ	兩頭為難
ㄌㄧㄤˇㄊㄡˊㄎㄨㄥ	兩頭空
ㄌㄧㄤˇㄊㄡˊㄌㄨㄛˋㄎㄨㄥ	兩頭落空
ㄌㄧㄤˇㄊㄡˊㄕㄜˊ	兩頭蛇
ㄌㄧㄤˇㄊㄡˊㄆㄠˇ	兩頭跑
ㄌㄧㄤˇㄐㄧㄚˊ	兩頰
ㄌㄧㄤˇㄊㄧˊ	兩題
ㄌㄧㄤˇㄕㄡˇㄍㄜ	兩首歌
ㄌㄧㄤˇㄉㄧㄢˇ	兩點
ㄌㄧㄤˇㄉㄧㄢˇㄓㄨㄥ	兩點鐘
ㄌㄧㄤˇㄉㄤˇㄓˋ	兩黨制
ㄅㄚㄧㄑㄧㄍㄨㄥㄅㄠˋ	八一七公報
ㄅㄚㄧㄙㄢ	八一三
ㄅㄚㄧㄅㄚ	八一八
ㄅㄚㄧㄙˋ	八一四
ㄅㄚㄑㄧㄨˇ	八七五
ㄅㄚㄑㄧㄕㄨㄟˇㄗㄞ	八七水災
ㄅㄚㄙㄢㄧ	八三一
ㄅㄚㄙㄢㄧㄠ	八三麼
ㄅㄚㄒㄧㄚˋ	八下
ㄅㄚㄕˋ	八世
ㄅㄚㄕˋㄐㄧˋ	八世紀
ㄅㄚㄐㄧㄡˇ	八九
ㄅㄚㄐㄧㄡˇㄅㄨˋㄌㄧˊㄕˊ	八九不離十
ㄅㄚㄐㄧㄡˇㄕˊ	八九十
ㄅㄚㄐㄧㄡˇㄑㄧㄢ	八九千
ㄅㄚㄐㄧㄡˇㄒㄩㄝˊㄔㄠˊ	八九學潮
ㄅㄚㄐㄧㄡˇㄒㄩㄝˊㄩㄣˋ	八九學運
ㄅㄚㄐㄧㄡˇㄋㄧㄢˊ	八九年
ㄅㄚㄐㄧㄡˇㄇㄧㄣˊㄩㄣˋ	八九民運
ㄅㄚㄐㄧㄡˇㄨㄢˋ	八九萬
ㄅㄚㄦˋㄙㄢ	八二三
ㄅㄚㄦˋㄙㄢㄆㄠˋㄓㄢˋ	八二三砲戰
ㄅㄚㄒㄧㄢ	八仙
ㄅㄚㄒㄧㄢㄓㄨㄛ	八仙桌
ㄅㄚㄒㄧㄢㄌㄜˋㄩㄢˊ	八仙樂園
ㄅㄚㄒㄧㄢㄉㄨㄥˋ	八仙洞
ㄅㄚㄒㄧㄢㄍㄨㄛˋㄏㄞˇ	八仙過海
ㄅㄚㄑㄧㄢㄉㄨㄛ	八仟多
ㄅㄚㄑㄧㄢㄩˊ	八仟餘
ㄅㄚㄐㄧㄢˋ	八件
ㄅㄚㄈㄣˋ	八份
ㄅㄚㄨㄟˋ	八位
ㄅㄚㄨㄟˋㄕㄨˋ	八位數
ㄅㄚㄧˋ	八佾
ㄅㄚㄧˋㄨˇ	八佾舞
ㄅㄚㄍㄜˋ	八個
ㄅㄚㄍㄜ˙	八個
ㄅㄚㄧˋㄉㄨㄛ	八億多
ㄅㄚㄎㄜˋ	八克
ㄅㄚㄌㄧㄤˇㄅㄢˋㄐㄧㄣ	八兩半斤
ㄅㄚㄅㄚㄅㄚ	八八八
ㄅㄚㄅㄚㄌㄧㄡˋ	八八六
ㄅㄚㄅㄚㄐㄧㄝˊ	八八節
ㄅㄚㄌㄧㄡˋㄑㄧ	八六七
ㄅㄚㄌㄧㄡˋㄦˋ	八六二
ㄅㄚㄌㄧㄡˋㄅㄚ	八六八
ㄅㄚㄐㄩˋ	八具
ㄅㄚㄈㄣ	八分
ㄅㄚㄈㄣㄓㄧ	八分之一
ㄅㄚㄈㄣㄓㄑㄧ	八分之七
ㄅㄚㄈㄣㄓㄨˇ	八分之五
ㄅㄚㄈㄣㄕㄡˊ	八分熟
ㄅㄚㄈㄣㄓㄨㄥ	八分鐘
ㄅㄚㄈㄣㄧㄣㄈㄨˊ	八分音符
ㄅㄚㄉㄠˋㄦˋ	八到二
ㄅㄚㄅㄠ	八包
ㄅㄚㄑㄩ	八區
ㄅㄚㄕˊ	八十
ㄅㄚㄕˊㄧ	八十一
